address,amount
0xddaafc1f3bd194ef062296e61111a5efd6430b1e,"1,262,626"
0x3889d7136aab8af3b23c220094b78b89a935a647,"1,262,626"
0xcd4d1cde4d3ce718f176ce4f66af54748639d0b8,"1,262,626"
0xe3abe758b787f014fcec7f3d8bfd315aa58a4db1,"1,262,626"
0xecc2535c88df4c2bc941c222f2e16824e1ea7cad,"1,262,626"
0xf296542244a1eade0f90fe72ac0b9fba2e772de7,"1,262,626"
0xe8aeca135f240bb1b08c2301996e8b1b9d870f76,"1,262,626"
0xd875986ce38fee7faef7ed760eb37d2b18a70677,"1,262,626"
0x04a9d53236ac03a95ba93dff306b12011967a846,"1,262,626"
0x86bd1e313ea2c4628ec65a57cf1bef654f943682,"1,262,626"
0xb4c01b2689f1de68036e08e0824cdc27ad9df397,"1,262,626"
0xdde0612a5c8de87df27988fb0b69d7c173e5d88a,"1,262,626"
0xe8ba6f9ccfb2c506a8ff5ed1a3974a53cc11c0b3,"1,262,626"
0xaf19998e3b78f8d827d59a8ac8c0aa8c687f2b13,"1,262,626"
0xfa08f0a53251356ecac47ffc32444c20ff11ab92,"1,262,626"
0x6c1bb20ed112f7412275e13e6668fe7df189ef52,"1,262,626"
0xf802ec5a8172c7ca8255d3e23ad5cf0fc9bab93c,"1,262,626"
0xa85920c9083cd71f002db7c90e9fcd43bedd4b02,"1,262,626"
0x2781c2dc9beedfd948e2c3e73ea7250860a3ef7a,"1,262,626"
0x5228cf34308b7d2d65c5e64d5fdc083f2cb6b0d4,"1,262,626"
0x37de3e915528e533135a806bea22a11331e229ae,"1,262,626"
0x188d2b33a67ce2445157ea540314c9cbd4e3fd7c,"1,262,626"
0xdd2ff37e55d94de3dbb1628393377b6ab1b76dfe,"1,262,626"
0x200a8a86517d0912aaddca5bdcfe808549fbc034,"1,262,626"
0x0324b03e535a308e295735d4e97d0cdc755b97ca,"1,262,626"
0x4585e3334c01bf0c34b92501445cd8daf23e5661,"1,262,626"
0xf8b2afbfa877e0da2e6d2ccf81ee9eac9b6c8d6c,"1,262,626"
0xa9f03a8f04c79989e70f4f3743a7179048817ca0,"1,262,626"
0x312fab6832549623ce26c6b5d5a0ad1e3291176d,"1,262,626"
0x282d52290ced6068f309d0898355d6a4466919b4,"1,262,626"
0xa79227a46274da597cd6acee5d4a3b958fc3e2d4,"1,262,626"
0xdac5f95d7c4d8476679bae7b57cffc953934e3c8,"1,262,626"
0xdd47cf2d45cba37e2d914d0d3c3899464b347b03,"1,262,626"
0xafed93d81473f2b75b74f3a9777a5edd29bbe3a5,"1,262,626"
0x68fd6a77c47c04159911e746336f86e6b3475c73,"1,262,626"
0xdd28d7478e6409c865911da3bcef464552348cf9,"1,262,626"
0x45302ae58f956f553a158d100df58b05cd9e1869,"1,262,626"
0x882b8370fcc06ab394459ce6c428f4a82b59d2c0,"1,262,626"
0x820ff264de0bcc7b0eff438313c0f0ac563a57d9,"1,262,626"
0xeef844a684c347fda2c7bda9d5281918321862bd,"1,262,626"
0xa865bb60019a5c55d46f19974b47a99b7e5aca31,"1,262,626"
0xa45157010f954d76d49d425f50cfd2d08c260f37,"1,262,626"
0x9d84fc10bd28dc2e098cb2fa7426ae674b98ca81,"1,262,626"
0xc3f6b6c4309ba9a9887216dbebf39fac78406696,"1,262,626"
0x98f07a9ddd0d1449bd1dd9ef81ce6401e306dbbd,"1,262,626"
0xf9b81de301f92fd554e16c145d0304ebb2e0457d,"1,262,626"
0xde8400339839b8d9c21b38c86474ec8918d88df2,"1,262,626"
0x47eabc90e452c6b0394b99cfb8ee621476e648c1,"1,262,626"
0xeaa0efac74198ab49bb5e7e4418f7531d9164672,"1,262,626"
0x56e341f809012743469c530ff9bfc3177a8e4a9c,"1,262,626"
0xd712752fb2b676dab092ffef2cd8d61c8f65be86,"1,262,626"
0x0ac3a5e731245d926ae4a639ffad68d69e907b51,"1,262,626"
0x4427a5a7e6e04ae96cd671c0a4e0b5c14b7b4f17,"1,262,626"
0x314d68cd71ac48b2d0d98d1d7eca0944302cac34,"1,262,626"
0xe252f00d55bf966d04f9ea2c9533f75ffacb28d8,"1,262,626"
0xb4aaedef6b371dcbfb47abb1fbcc971c78b19f63,"1,262,626"
0x2585e06c6d6f8eb4a90a8440d4b431fd472bc0ee,"1,262,626"
0xbe3fa8b2b8f20871660e644d7e8fba99bbba6c1b,"1,262,626"
0xd8fef44887487b7f609e632a7b7299e8e13e93f4,"1,262,626"
0xd74ac3450a8ee0c61b82114630448b4e1a5e7fe3,"1,262,626"
0x7095c650301a49e67fc4fbf51eb0c610c090ae91,"1,262,626"
0x995531dafdbf5c8c05777ee6a6de3dd780f6914f,"1,262,626"
0xa56ffb889f9684beeaa726a326c795c655189655,"1,262,626"
0xa8e1a4640cfc3d4d5173215602a550a37ce99698,"1,262,626"
0xb55d38c30ebce6bbe4462d15e8d987a848e98458,"1,262,626"
0xb4af725144f4a0202745d3c94b4f81de8b9988d0,"1,262,626"
0x58f4541f61404e734de30a27b9ffc209c2ad7c51,"1,262,626"
0xab9412792f76de4ab94c4e1df9522b6cb2a6512e,"1,262,626"
0xeb3b7e121197f421e2c21e3f0b090f91c2c12b14,"1,262,626"
0xd18e8874f122b6154d86dab96c2c5b2aa176df1e,"1,262,626"
0x40b1f2ae7d6bbf9c960b022acab1e866667cbd97,"1,262,626"
